路線,票種,去返程,上車日期,上車時間,上車分鐘,上車站名,下車日期,下車時間,下車分鐘,下車站名,星期,乘坐分鐘
308,一般票,去程,2022/4/1,07:20,440,花蓮火車站,2022/4/1,08:12,492,七星潭,1,52
308,一般票,返程,2022/4/1,19:05,1145,台灣企銀,2022/4/1,19:14,1154,花蓮火車站,1,9
308,一般票,返程,2022/4/4,08:28,508,七星潭,2022/4/4,09:17,557,台灣企銀,1,49
308,一般票,返程,2022/4/4,09:10,550,東大門夜市,2022/4/4,09:27,567,花蓮火車站,1,17
308,一般票,去程,2022/4/6,17:07,1027,花蓮商校,2022/4/6,17:14,1034,東大門夜市,1,7
308,一般票,返程,2022/4/7,08:52,532,麗軒國際飯店,2022/4/7,09:06,546,東大門夜市,1,14
308,一般票,去程,2022/4/7,16:58,1018,花蓮火車站,2022/4/7,17:15,1035,東大門夜市,1,17
308,一般票,返程,2022/4/7,19:07,1147,台灣企銀,2022/4/7,19:16,1156,花蓮火車站,1,9
308,一般票,返程,2022/4/8,08:52,532,麗軒國際飯店,2022/4/8,09:02,542,東大門夜市,1,10
308,一般票,去程,2022/4/9,17:03,1023,花蓮火車站,2022/4/9,17:36,1056,美侖大飯店,0,33
308,一般票,去程,2022/4/10,07:26,446,郵政總局,2022/4/10,07:35,455,花蓮女中,0,9
308,一般票,返程,2022/4/23,09:11,551,台灣企銀,2022/4/23,09:20,560,花蓮火車站,0,9
308,一般票,返程,2022/4/25,08:50,530,麗軒國際飯店,2022/4/25,09:02,542,東大門夜市,1,12
308,一般票,返程,2022/5/10,08:37,517,民意社區,2022/5/10,08:51,531,門諾醫院,1,14
308,一般票,返程,2022/5/14,18:51,1131,翰品酒店,2022/5/14,19:18,1158,花蓮火車站,0,27
308,一般票,返程,2022/5/15,18:55,1135,黎明教養院,2022/5/15,19:07,1147,花蓮商校,0,12
308,一般票,返程,2022/5/26,08:52,532,翰品酒店,2022/5/26,09:17,557,花蓮火車站,1,25
308,一般票,去程,2022/5/28,16:53,1013,花蓮火車站,2022/5/28,17:11,1031,台灣企銀,0,18
308,一般票,返程,2022/5/31,18:51,1131,門諾醫院,2022/5/31,19:13,1153,花蓮火車站,1,22
308,一般票,去程,2022/6/4,17:16,1036,北濱公園,2022/6/4,17:46,1066,七星潭,0,30
308,一般票,返程,2022/6/9,19:07,1147,東大門夜市,2022/6/9,19:22,1162,花蓮火車站,1,15
308,一般票,返程,2022/6/10,18:55,1135,煙波大飯店,2022/6/10,19:18,1158,花蓮火車站,1,23
308,一般票,返程,2022/6/11,19:10,1150,東大門夜市,2022/6/11,19:25,1165,花蓮火車站,0,15
308,一般票,返程,2022/6/17,19:11,1151,台灣企銀,2022/6/17,19:20,1160,花蓮火車站,1,9
308,一般票,返程,2022/6/25,18:25,1105,七星潭,2022/6/25,19:05,1145,東大門夜市,0,40
308,一般票,返程,2022/6/25,18:51,1131,翰品酒店,2022/6/25,19:05,1145,東大門夜市,0,14
308,一般票,返程,2022/6/27,08:48,528,翰品酒店,2022/6/27,09:13,553,花蓮火車站,1,25
308,一般票,去程,2022/7/1,16:57,1017,花蓮火車站,2022/7/1,17:32,1052,翰品酒店,1,35
308,一般票,去程,2022/7/2,17:05,1025,花蓮電影城,2022/7/2,17:16,1036,台灣企銀,0,11
308,一般票,去程,2022/7/5,16:58,1018,花蓮火車站,2022/7/5,17:14,1034,東大門夜市,1,16
308,一般票,返程,2022/7/5,19:03,1143,北濱街,2022/7/5,19:23,1163,花蓮火車站,1,20
308,一般票,返程,2022/7/8,18:58,1138,門諾醫院,2022/7/8,19:30,1170,花蓮火車站,1,32
308,一般票,去程,2022/7/10,16:56,1016,花蓮火車站,2022/7/10,17:06,1026,花蓮商校,0,10
308,一般票,去程,2022/7/10,16:56,1016,花蓮火車站,2022/7/10,17:15,1035,台灣企銀,0,19
308,一般票,去程,2022/7/12,16:55,1015,花蓮火車站,2022/7/12,17:43,1063,七星潭,1,48
308,一般票,去程,2022/7/12,16:55,1015,花蓮火車站,2022/7/12,17:43,1063,七星潭,1,48
308,一般票,返程,2022/7/12,18:28,1108,七星潭,2022/7/12,19:03,1143,台灣企銀,1,35
308,一般票,返程,2022/7/12,18:29,1109,七星潭,2022/7/12,19:03,1143,台灣企銀,1,34
308,一般票,去程,2022/7/13,17:42,1062,美侖大飯店,2022/7/13,17:57,1077,七星潭,1,15
308,一般票,返程,2022/7/13,18:33,1113,花蓮曼波園區(海岸路),2022/7/13,19:08,1148,花蓮女中,1,35
308,一般票,去程,2022/7/14,07:17,437,花蓮火車站,2022/7/14,07:45,465,門諾醫院,1,28
308,一般票,去程,2022/7/16,07:26,446,花蓮電影城,2022/7/16,07:48,468,煙波大飯店,0,22
308,一般票,返程,2022/7/16,09:14,554,花蓮商校,2022/7/16,09:20,560,花蓮火車站,0,6
308,一般票,去程,2022/7/18,07:18,438,花蓮火車站,2022/7/18,07:46,466,門諾醫院,1,28
308,一般票,返程,2022/7/18,08:59,539,黎明教養院,2022/7/18,09:20,560,花蓮火車站,1,21
308,一般票,去程,2022/7/20,07:14,434,花蓮火車站,2022/7/20,07:42,462,門諾醫院,1,28
308,一般票,去程,2022/7/20,16:58,1018,花蓮火車站,2022/7/20,18:06,1086,七星潭,1,68
308,一般票,去程,2022/7/21,07:13,433,花蓮火車站,2022/7/21,07:45,465,門諾醫院,1,32
308,一般票,去程,2022/7/21,16:55,1015,花蓮火車站,2022/7/21,17:50,1070,七星潭,1,55
308,一般票,返程,2022/7/21,18:22,1102,七星潭,2022/7/21,19:21,1161,花蓮火車站,1,59
308,一般票,去程,2022/7/24,17:08,1028,花蓮商校,2022/7/24,17:53,1073,七星潭,0,45
308,一般票,返程,2022/7/25,18:18,1098,七星潭,2022/7/25,19:28,1168,花蓮火車站,1,70
308,一般票,去程,2022/7/25,07:21,441,花蓮火車站,2022/7/25,07:44,464,門諾醫院,1,23
308,一般票,返程,2022/7/25,08:54,534,黎明教養院,2022/7/25,09:10,550,花蓮火車站,1,16
308,一般票,返程,2022/7/26,18:26,1106,七星潭,2022/7/26,19:12,1152,大同市場,1,46
308,一般票,去程,2022/7/27,17:33,1053,福容大飯店,2022/7/27,17:50,1070,七星潭,1,17
308,一般票,返程,2022/7/27,18:20,1100,七星潭,2022/7/27,19:06,1146,北濱街,1,46
308,一般票,返程,2022/7/27,18:58,1138,煙波大飯店,2022/7/27,19:08,1148,東大門夜市,1,10
308,一般票,返程,2022/7/28,18:56,1136,門諾醫院,2022/7/28,19:26,1166,花蓮火車站,1,30
308,一般票,去程,2022/7/29,16:59,1019,花蓮火車站,2022/7/29,17:07,1027,郵政總局,1,8
308,一般票,去程,2022/8/2,07:15,435,花蓮火車站,2022/8/2,07:27,447,花蓮商校,1,12
308,一般票,去程,2022/8/5,07:18,438,花蓮火車站,2022/8/5,07:45,465,門諾醫院,1,27
308,一般票,去程,2022/8/6,16:58,1018,花蓮火車站,2022/8/6,17:14,1034,東大門夜市,0,16
308,一般票,返程,2022/8/7,08:55,535,煙波大飯店,2022/8/7,09:16,556,花蓮火車站,0,21
308,一般票,返程,2022/8/8,08:50,530,麗軒國際飯店,2022/8/8,09:01,541,東大門夜市,1,11
308,一般票,返程,2022/8/8,09:03,543,東大門夜市,2022/8/8,09:16,556,花蓮火車站,1,13
308,一般票,去程,2022/8/9,16:56,1016,花蓮火車站,2022/8/9,17:55,1075,七星潭,1,59
308,一般票,返程,2022/8/9,18:26,1106,七星潭,2022/8/9,19:20,1160,花蓮商校,1,54
308,一般票,去程,2022/8/10,16:58,1018,花蓮火車站,2022/8/10,17:18,1038,東大門夜市,1,20
308,一般票,返程,2022/8/10,18:55,1135,煙波大飯店,2022/8/10,19:03,1143,東大門夜市,1,8
308,一般票,返程,2022/8/11,18:23,1103,七星潭,2022/8/11,19:03,1143,東大門夜市,1,40
308,一般票,返程,2022/8/11,18:33,1113,花蓮曼波園區(海岸路),2022/8/11,19:03,1143,東大門夜市,1,30
308,一般票,去程,2022/8/12,16:57,1017,花蓮火車站,2022/8/12,17:11,1031,台灣企銀,1,14
308,一般票,去程,2022/8/12,16:57,1017,花蓮火車站,2022/8/12,17:12,1032,台灣企銀,1,15
308,一般票,返程,2022/8/12,18:27,1107,七星潭,2022/8/12,19:11,1151,台灣企銀,1,44
308,一般票,去程,2022/8/13,07:30,450,花蓮火車站,2022/8/13,07:46,466,北濱公園,0,16
