布靡そ絪腹,笲そ絪腹,腹,布贺絪腹,布贺絏,隔絬そ隔絪腹,诀絪腹,ó腹,ó丁(),璸禣(),璸禣(),ó丁(),璸禣(),璸禣(),ユ龟Ι,﹍布基,纔磃布基,纔磃肂
EasyCard,47000,100803041,0,布,1133,111,420-FQ,2017/9/1 11:16,1,盵,2017/9/1 12:06,12,び緗徽,35,81,71,10
EasyCard,47000,102296449,0,布,1133,151,495-FQ,2017/9/16 12:08,10,穝,2017/9/16 12:20,12,び緗徽,10,24,21,3
EasyCard,47000,103324017,0,布,1141,135,927-FW,2017/9/20 08:38,0,浆ó,2017/9/20 09:12,3,古ń,28,32,28,4
EasyCard,47000,103324017,0,布,1141,135,927-FW,2017/9/22 08:38,0,浆ó,2017/9/22 09:11,3,古ń,28,32,28,4
EasyCard,47000,103324017,0,布,1141,135,927-FW,2017/9/26 08:40,0,浆ó,2017/9/26 09:12,3,古ń,28,32,28,4
EasyCard,47000,104525553,0,布,1141,135,927-FW,2017/9/2 08:37,0,浆ó,2017/9/2 08:47,0,浆ó,21,24,21,3
EasyCard,47000,1047419872,0,布,1141,135,927-FW,2017/9/15 08:45,0,浆ó,2017/9/15 09:35,12,び緗徽,81,92,81,11
EasyCard,47000,1047435728,0,布,1141,135,927-FW,2017/9/15 08:45,0,浆ó,2017/9/15 09:35,12,び緗徽,81,92,81,11
EasyCard,47000,105442449,0,布,1133,111,429-FQ,2017/9/26 14:46,12,び緗徽,2017/9/26 15:53,0,浆ó,43,99,87,12
EasyCard,47000,105444737,0,布,1133,111,429-FQ,2017/9/26 14:46,12,び緗徽,2017/9/26 15:53,0,浆ó,43,99,87,12
EasyCard,47000,105450097,0,布,1133,247,952-FW,2017/9/2 17:19,12,び緗徽,2017/9/2 18:19,0,浆ó,43,99,87,12
EasyCard,47000,105834177,0,布,1133,138,953-FW,2017/9/20 14:05,16,厚,2017/9/20 14:17,15,嘹也爵,11,26,22,4
EasyCard,47000,105834177,0,布,1141,135,927-FW,2017/9/20 19:02,0,浆ó,2017/9/20 19:17,0,浆ó,21,24,21,3
EasyCard,47000,106371297,1,穛ρ1布,1133,144,951-FW,2017/9/7 14:04,16,厚,2017/9/7 14:17,14,匪痐,21,23,21,2
EasyCard,47000,107648673,1,穛ρ1布,1133,138,953-FW,2017/9/20 10:49,0,浆ó,2017/9/20 10:57,0,浆ó,11,12,11,1
EasyCard,47000,107772369,1,穛ρ1布,1133,138,953-FW,2017/9/20 11:56,10,穝,2017/9/20 12:02,12,び緗徽,11,12,11,1
EasyCard,47000,108136609,1,穛ρ1布,1133,144,951-FW,2017/9/28 15:37,0,浆ó,2017/9/28 15:49,0,浆ó,11,12,11,1
EasyCard,47000,1081802771,3,稲み布,1133,120,423-FQ,2017/9/22 12:10,10,穝,2017/9/22 13:12,17,ぱ不,42,47,42,5
EasyCard,47000,108667409,1,穛ρ1布,1133,182,496-FQ,2017/9/2 10:51,0,浆ó,2017/9/2 11:59,12,び緗徽,44,50,44,6
EasyCard,47000,1091323572,5,厩ネ布,1141,135,927-FW,2017/9/11 16:16,24,拉,2017/9/11 17:41,17,ぱ不,161,183,161,22
EasyCard,47000,1091323572,5,厩ネ布,1141,135,927-FW,2017/9/26 10:25,17,ぱ不,2017/9/26 12:09,24,拉,161,183,161,22
EasyCard,47000,109741473,1,穛ρ1布,1133,120,423-FQ,2017/9/22 10:49,0,浆ó,2017/9/22 13:12,17,ぱ不,78,89,78,11
EasyCard,47000,110252193,1,穛ρ1布,1141,135,927-FW,2017/9/2 09:31,10,穝,2017/9/2 09:35,12,び緗徽,11,12,11,1
EasyCard,47000,110700081,0,布,1141,135,927-FW,2017/9/2 19:01,0,浆ó,2017/9/2 19:17,0,浆ó,21,24,21,3
EasyCard,47000,110701617,0,布,1141,135,927-FW,2017/9/2 19:01,0,浆ó,2017/9/2 19:17,0,浆ó,21,24,21,3
EasyCard,47000,1135469256,0,布,1133,138,953-FW,2017/9/20 10:49,0,浆ó,2017/9/20 10:57,0,浆ó,10,24,21,3
EasyCard,47000,1136353807,0,布,1133,227,430-FQ,2017/9/29 13:59,17,ぱ不,2017/9/29 14:04,16,厚,11,25,22,3
EasyCard,47000,1155278819,0,布,1133,151,495-FQ,2017/9/16 10:42,0,浆ó,2017/9/16 11:46,7,芖,25,58,51,7
EasyCard,47000,1159335656,0,布,1133,144,951-FW,2017/9/18 14:41,12,び緗徽,2017/9/18 15:35,0,浆ó,43,99,87,12
EasyCard,47000,1160833651,0,布,1133,247,952-FW,2017/9/22 17:23,12,び緗徽,2017/9/22 17:29,10,穝,10,24,21,3
EasyCard,47000,1166412419,0,布,1141,135,927-FW,2017/9/6 17:37,17,ぱ不,2017/9/6 19:04,0,浆ó,137,156,137,19
EasyCard,47000,1182373864,1,穛ρ1布,1133,111,420-FQ,2017/9/12 11:10,0,浆ó,2017/9/12 11:13,1,盵,11,12,11,1
EasyCard,47000,1182500072,1,穛ρ1布,1133,219,919-FW,2017/9/15 10:41,0,浆ó,2017/9/15 12:44,17,ぱ不,78,89,78,11
EasyCard,47000,1182500072,1,穛ρ1布,1133,219,919-FW,2017/9/15 13:58,17,ぱ不,2017/9/15 15:54,0,浆ó,78,89,78,11
EasyCard,47000,1182500072,1,穛ρ1布,1133,279,931-FW,2017/9/30 13:46,0,浆ó,2017/9/30 16:27,17,ぱ不,78,89,78,11
