票種代碼,路線公路編號,上車時間(上),計費站名(上),下車時間(下),人次
敬老卡,1141,2021/7/1 08:33,花蓮火車站,2021/7/1 13:02,1
敬老卡,1141,2021/7/1 08:57,花蓮火車站,2021/7/1 09:15,1
敬老卡,1141,2021/7/1 09:32,新城,2021/7/1 13:02,1
敬老卡,1141,2021/7/1 14:42,梨山,2021/7/1 19:14,1
敬老卡,1141,2021/7/2 08:57,花蓮火車站,2021/7/2 09:36,1
敬老卡,1141,2021/7/2 09:15,北埔,2021/7/2 09:42,1
敬老卡,1141,2021/7/2 15:47,日新崗,2021/7/2 18:55,1
高捷一般卡,1141,2021/7/3 08:32,花蓮火車站,2021/7/3 12:32,1
敬老卡,1141,2021/7/3 09:01,上美崙,2021/7/3 09:10,1
愛心卡,1141,2021/7/4 08:56,花蓮火車站,2021/7/4 09:34,1
高捷一般卡,1141,2021/7/4 08:59,上美崙,2021/7/4 09:09,1
一般卡,1141,2021/7/4 08:59,上美崙,2021/7/4 09:09,1
高捷一般卡,1141,2021/7/4 09:00,上美崙,2021/7/4 09:09,1
高捷一般卡,1141,2021/7/4 14:42,梨山,2021/7/4 18:25,1
高捷敬老卡,1141,2021/7/4 14:43,梨山,2021/7/4 18:25,1
一般卡,1141,2021/7/4 14:43,梨山,2021/7/4 18:26,1
高捷一般卡,1141,2021/7/4 14:57,梨山,2021/7/4 14:58,1
一般卡,1141,2021/7/5 08:35,花蓮火車站,2021/7/5 12:07,1
敬老卡,1141,2021/7/5 09:04,花蓮工校,2021/7/5 09:12,1
優待卡,1141,2021/7/5 12:52,碧綠溪,2021/7/5 13:01,1
優待卡,1141,2021/7/5 14:41,梨山,2021/7/5 15:01,1
一般卡,1141,2021/7/7 08:55,花蓮火車站,2021/7/7 09:09,1
敬老卡,1141,2021/7/7 09:01,花蓮火車站,2021/7/7 09:37,1
敬老卡,1141,2021/7/7 09:01,花蓮火車站,2021/7/7 09:37,1
敬老卡,1141,2021/7/7 09:03,上美崙,2021/7/7 12:29,1
一般卡,1141,2021/7/7 10:36,天祥,2021/7/7 12:06,1
