縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
高雄市,Ⅲ-01,太爺,345,200,"E120'13'35.8""","N22'54'38.5""",台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,35.2,北,3.5,3.5,3.5,,,3,,2.5,"12,384",70,414,1,86,"14,048","27,003","23,205","394,244","2,751",7,8,0.52,0,0,
高雄市,Ⅲ-01,太爺,345,200,"E120'13'35.8""","N22'54'38.5""",台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,35.2,南,3.5,3.5,3.5,,,3,,2.5,"12,310",88,433,0,71,"12,300","25,202","21,915","367,949","2,284",7,8,0.52,0,0,
高雄市,Ⅲ-02,青埔橋,366,800,"E120'19'1.3""","N22'44'33.8""",台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,北,3.5,3.5,3.5,,,4.3,,0.9,"11,631",94,296,13,200,"13,079","25,313","22,010","308,819","3,034",7,8,0.51,30,76,
高雄市,Ⅲ-02,青埔橋,366,800,"E120'19'1.3""","N22'44'33.8""",台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,南,3.5,3.5,3.5,,,4.3,,0.9,"11,294",120,284,17,377,"14,559","26,651","23,273","325,142","2,678",17,18,0.51,88,132,
高雄市,Ⅲ-03,八卦寮,371,700,"E120'19'21.6""","N22'41'53.4""",台1線,仁武,鳳山,371,267,383,309,平原區,12,34.2,北,3.6,3.6,,,,2.6,2.6,1.2,"18,076",249,737,3,151,"31,975","51,191","42,401","614,292","5,458",7,8,0.51,0,0,
高雄市,Ⅲ-03,八卦寮,371,700,"E120'19'21.6""","N22'41'53.4""",台1線,仁武,鳳山,371,267,383,309,平原區,12,34.2,南,3.6,3.6,,,,2.6,2.6,0.8,"17,478",365,800,2,170,"33,426","52,241","43,140","626,892","5,485",17,18,0.51,0,0,
高雄市,Ⅲ-04,大智橋,384,300,"E120'22'19.5""","N22'38'5.8""",台1線,鳳山,後庄,383,309,385,923,平原區,2.6,31.2,北,3.5,3.5,,,,3,,2.7,"17,294",111,362,4,66,"16,597","34,434","29,832","89,528","2,849",7,8,0.52,0,0,
高雄市,Ⅲ-04,大智橋,384,300,"E120'22'19.5""","N22'38'5.8""",台1線,鳳山,後庄,383,309,385,923,平原區,2.6,31.2,南,3.5,3.5,,,,3,,2.8,"18,172",101,386,4,80,"18,082","36,825","31,812","95,745","3,048",7,8,0.52,0,0,
高雄市,Ⅲ-05,高屏大橋,390,700,"E120'25'38.8""","N22'38'40.4""",台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,32.8,北,3.5,3.5,3.5,,,4.2,,0.2,"25,872",127,770,5,432,"15,967","43,173","39,706","289,259","4,907",7,8,0.51,0,0,"快慢分隔,1車道"
高雄市,Ⅲ-05,高屏大橋,390,700,"E120'25'38.8""","N22'38'40.4""",台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,32.8,南,3.5,3.5,3.5,,,4.2,,0.2,"26,157",119,817,8,424,"17,174","44,699","40,880","299,483","4,169",17,18,0.51,0,0,"快慢分隔,1車道"
屏東縣,Ⅲ-06,西屏東,394,200,E120'27'36.6'',N22'39'12.3'',台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,北,3.5,3.5,3.5,,,2,,2.5,"19,541",106,505,8,166,"11,657","31,983","29,140","63,966","3,525",7,8,0.5,0,0,
屏東縣,Ⅲ-06,西屏東,394,200,E120'27'36.6'',N22'39'12.3'',台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,南,3.5,3.5,3.5,,,2,,2.5,"20,137",108,464,9,167,"11,379","32,264","29,488","64,528","2,608",17,18,0.5,0,0,
屏東縣,Ⅲ-07,牛稠溪橋,395,950,E120'28'37.6'',N22'39'11.9'',台1線,頭前溪,國立商專,394,603,399,503,平原區,4.9,24.2,北,3.5,3.5,,,,2,,1.8,"10,121",41,287,9,157,"6,344","16,959","15,553","83,099","1,781",7,8,0.52,0,0,
屏東縣,Ⅲ-07,牛稠溪橋,395,950,E120'28'37.6'',N22'39'11.9'',台1線,頭前溪,國立商專,394,603,399,503,平原區,4.9,24.2,南,3.5,3.5,,,,2,,1.8,"9,558",57,235,9,103,"5,882","15,844","14,450","77,636","1,397",17,18,0.52,0,0,
屏東縣,Ⅲ-08,豐田招呼站,404,300,E120'32'34.7'',N22'37'58.0'',台1線,國立商專,內埔,399,503,406,292,平原區,6.8,21.2,北,3.5,3.5,,,,2,,1.2,"13,407",190,353,3,73,"9,646","23,672","21,202","160,970","2,646",7,8,0.52,0,0,
屏東縣,Ⅲ-08,豐田招呼站,404,300,E120'32'34.7'',N22'37'58.0'',台1線,國立商專,內埔,399,503,406,292,平原區,6.8,21.2,南,3.5,3.3,,,,1.8,,0.2,"11,853",200,269,4,69,"9,251","21,646","19,252","147,193","1,987",17,18,0.52,0,0,
屏東縣,Ⅲ-09,新美和護專,408,100,"E120'33'38.3""",N22'36'16.0'',台1線,內埔,美和護專,406,292,408,804,平原區,2.5,20.2,北,3.2,3.2,,,,2,,0.6,"4,342",50,172,2,51,"3,607","8,224","7,359","20,560",774,16,17,0.51,0,0,
