縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,東,3.5,3.5,,,,-,,1.2,"2,522",45,187,26,"1,323",235,"4,338","9,872","62,033",729,15,16,0.51,11,12,
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,西,3.5,3.5,,,,-,,1.2,"2,801",31,227,26,"1,047",329,"4,461","8,879","63,792",667,12,13,0.51,3,23,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.211,16,東,3.5,3.5,,,,-,,1,"5,341",184,"1,343",37,472,"1,473","8,850","10,043","63,720","1,103",17,18,0.53,10,30,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.211,16,西,3.5,3.5,,,,-,,1,"5,869",255,"1,339",67,495,"1,850","9,875","11,057","71,100","1,452",15,16,0.53,34,65,
宜蘭縣,IV-03,竹安,138,0,E121.82446,N24.83878,台2線,金馬橋,竹安,137,0,143,570,平原區,6.57,16.8,東,4.2,,,,,2,,2.2,"2,871",38,119,1,655,"1,060","4,744","5,683","26,566",852,7,8,0.52,0,0,
宜蘭縣,IV-03,竹安,138,0,E121.82446,N24.83878,台2線,金馬橋,竹安,137,0,143,570,平原區,6.57,16.8,西,4.2,,,,,2,,2.2,"2,736",34,159,4,444,"1,030","4,407","4,981","24,679",852,7,8,0.52,0,0,
宜蘭縣,IV-04,公館,150,700,E121.82097,N24.72411,台2線,竹安,東港,143,570,156,59,平原區,12.489,15.8,東,3.6,,,,,2.5,,1.8,"1,946",37,338,2,474,691,"3,488","4,470","43,600",825,15,16,0.5,5,16,
宜蘭縣,IV-04,公館,150,700,E121.82097,N24.72411,台2線,竹安,東港,143,570,156,59,平原區,12.489,15.8,西,3.6,,,,,2.5,,1.8,"2,057",31,322,1,444,604,"3,459","4,400","43,238",825,15,16,0.5,9,5,
宜蘭縣,IV-05,馬賽,164,300,E121.83189,N24.63325,台2線,傳藝中心,馬賽,157,950,164,300,平原區,6.35,20.2,東,3.8,3.4,,,,2.5,,0.4,"5,246",111,"1,164",3,285,"1,393","8,202","8,998","52,493",724,8,9,0.5,22,20,
宜蘭縣,IV-05,馬賽,164,300,E121.83189,N24.63325,台2線,傳藝中心,馬賽,157,950,164,300,平原區,6.35,20.2,西,3.8,3.4,,,,2.5,,0.4,"5,014",169,"1,195",4,304,"1,410","8,096","8,972","51,814",885,17,18,0.5,16,26,
