縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
高雄市,Ⅲ-01,太爺,345,200,"E120'13'35.8""","N22'54'38.5""",台1線,南高縣市界,岡山,345,100,359,19,平原區,14.6,35.2,北,3.5,3.5,3.5,,,3,,2.5,"12,507",87,406,2,65,"12,884","25,951","22,467","378,885","2,680",7,8,0.51,
高雄市,Ⅲ-01,太爺,345,200,"E120'13'35.8""","N22'54'38.5""",台1線,南高縣市界,岡山,345,100,359,19,平原區,14.6,35.2,南,3.5,3.5,3.5,,,3,,2.5,"12,309",98,372,4,56,"12,446","25,285","21,906","369,161","2,259",7,8,0.51,
高雄市,Ⅲ-02,青埔橋,366,800,"E120'19'1.3""","N22'44'33.8""",台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,北,3.5,3.5,3.5,,,4.3,,0.9,"11,921",88,263,8,193,"12,131","24,604","21,543","300,169","2,873",7,8,0.51,
高雄市,Ⅲ-02,青埔橋,366,800,"E120'19'1.3""","N22'44'33.8""",台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,南,3.5,3.5,3.5,,,4.3,,0.9,"11,321",94,322,21,321,"13,464","25,543","22,396","311,625","2,706",17,18,0.51,
高雄市,Ⅲ-03,八卦寮,371,950,"E120'19'21.6""","N22'41'53.4""",台1線,仁武,鳳山,371,267,383,309,平原區,12,34.2,北,3.6,3.6,,,,2.6,2.6,1.2,"18,798",294,527,2,211,"31,092","50,924","42,433","611,088","6,230",7,8,0.51,
高雄市,Ⅲ-03,八卦寮,371,950,"E120'19'21.6""","N22'41'53.4""",台1線,仁武,鳳山,371,267,383,309,平原區,12,34.2,南,3.6,3.6,,,,2.6,2.6,0.8,"19,268",351,556,2,210,"32,690","53,077","44,148","636,924","5,449",17,18,0.51,
高雄市,Ⅲ-04,大智橋,384,300,"E120'22'19.5""","N22'38'5.8""",台1線,鳳山,後庄,383,309,385,923,平原區,2.6,31.2,北,3.5,3.5,,,,3,,2.7,"17,423",78,343,7,50,"17,530","35,431","30,497","92,121","3,040",7,8,0.51,
高雄市,Ⅲ-04,大智橋,384,300,"E120'22'19.5""","N22'38'5.8""",台1線,鳳山,後庄,383,309,385,923,平原區,2.6,31.2,南,3.5,3.5,,,,3,,2.8,"18,321",130,364,6,65,"17,398","36,284","31,454","94,338","3,193",7,8,0.51,
高雄市,Ⅲ-05,高屏大橋,390,700,"E120'25'38.8""","N22'38'40.4""",台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,32.8,北,3.5,3.5,3.5,,,4.2,,0.2,"26,602",102,575,9,402,"15,873","43,563","39,962","291,872","4,839",7,8,0.5,"快慢分隔,1車道"
高雄市,Ⅲ-05,高屏大橋,390,700,"E120'25'38.8""","N22'38'40.4""",台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,32.8,南,3.5,3.5,3.5,,,4.2,,0.2,"25,953",143,648,8,348,"16,078","43,178","39,463","289,293","4,106",17,18,0.5,"快慢分隔,1車道"
