縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,東,3.5,3.5,,,,-,,1.2,2749,19,113,16,1790,676,5363,12449,76690.9,944,15,16,0.54,
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,西,3.5,3.5,,,,-,,1.2,2602,23,201,9,1267,459,4561,9705,65222.3,649,15,16,0.54,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.211,16,東,3.5,3.5,,,,-,,1,6023,100,215,0,392,900,7630,8212,54936,780,15,16,0.51,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.211,16,西,3.5,3.5,,,,-,,1,5706,170,266,0,356,894,7392,7964,53222.4,772,15,16,0.51,
宜蘭縣,IV-03,竹安,138,0,E121.82446,N24.83878,台2線,金馬橋,竹安,137,0,143,570,平原區,6.57,16.8,東,4.2,,,,,2,,2.2,3812,42,155,0,346,1586,5941,6037,33269.6,1117,15,16,0.51,
宜蘭縣,IV-03,竹安,138,0,E121.82446,N24.83878,台2線,金馬橋,竹安,137,0,143,570,平原區,6.57,16.8,西,4.2,,,,,2,,2.2,3691,39,178,1,342,1561,5812,5935,32547.2,1117,15,16,0.51,
宜蘭縣,IV-04,公館,150,700,E121.82097,N24.72411,台2線,竹安,東港,143,570,156,59,平原區,12.489,15.8,東,3.6,,,,,2.5,,1.8,1553,32,128,1,319,320,2353,2993,29412.5,746,15,16,0.51,
宜蘭縣,IV-04,公館,150,700,E121.82097,N24.72411,台2線,竹安,東港,143,570,156,59,平原區,12.489,15.8,西,3.6,,,,,2.5,,1.8,1686,31,107,1,318,328,2471,3083,30887.5,746,15,16,0.51,
宜蘭縣,IV-05,馬賽,164,300,E121.83189,N24.63325,台2線,傳藝中心,馬賽,157,950,164,300,平原區,6.35,20.2,東,3.8,3.4,,,,2.5,,0.4,8679,75,461,0,475,1806,11496,12173,73574.4,1080,16,17,0.51,
宜蘭縣,IV-05,馬賽,164,300,E121.83189,N24.63325,台2線,傳藝中心,馬賽,157,950,164,300,平原區,6.35,20.2,西,3.8,3.4,,,,2.5,,0.4,9289,56,354,0,601,1631,11931,12849,76358.4,1197,11,12,0.51,
宜蘭縣,IV-06,成興,2,994,E121.82794,N24.64886,台2戊線,新店,龍德大橋,0,0,5,0,平原區,5,13.2,東,3.6,,,,,2,,1,2717,39,59,0,5,1670,4490,4261,24940,641,17,18,0.54,
宜蘭縣,IV-06,成興,2,994,E121.82794,N24.64886,台2戊線,新店,龍德大橋,0,0,5,0,平原區,5,13.2,西,3.6,,,,,2,,1,3771,28,116,0,3,1315,5233,3484,19955,641,17,18,0.54,
宜蘭縣,IV-07,隘丁 ,9,0,E121.83511,N24.59840,台2戊線,龍德大橋,聖湖,5,0,9,269,丘陵區,4.3,15,東,3.5,3.5,,,,　,,0.5,2882,48,10,0,4,745,3689,3449,15862.7,318,9,10,0.55,
宜蘭縣,IV-07,隘丁 ,9,0,E121.83511,N24.59840,台2戊線,龍德大橋,聖湖,5,0,9,269,丘陵區,4.3,15,西,3.5,3.5,,,,　,,0.5,3495,52,13,0,7,897,4464,4174,19195.2,392,15,16,0.55,
宜蘭縣,IV-08,頭商招呼站,0,800,E121.81591,N24.85002,台2庚線,頭商招呼站,二城國小,0,800,2,300,平原區,1.5,18,東,3.5,4,,,,-,,1.5,6322,159,143,0,128,998,7750,7759,11625,645,11,12,0.51,
宜蘭縣,IV-08,頭商招呼站,0,800,E121.81591,N24.85002,台2庚線,頭商招呼站,二城國小,0,800,2,300,平原區,1.5,18,西,3.5,4,,,,-,,1.5,6049,206,155,0,187,978,7575,7739,11362.5,693,17,18,0.51,
宜蘭縣,IV-09,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.442,18.2,東,3.5,4,,,,-,,1.6,5678,140,168,0,234,807,7027,7400,9837.8,628,17,18,0.5,
宜蘭縣,IV-09,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.442,18.2,西,3.5,4,,,,-,,1.6,5520,148,200,0,276,767,6911,7428,9675.4,629,17,18,0.5,
宜蘭縣,IV-10,池端,72,500,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.8,7.8,北,3.6,,,,,　,,0.3,237,18,4,0,0,70,329,536,6843.2,171,14,15,0.52,
宜蘭縣,IV-10,池端,72,500,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.8,7.8,南,3.6,,,,,　,,0.3,232,16,2,0,0,54,304,492,6323.2,171,14,15,0.52,
宜蘭縣,IV-11,棲蘭山,82,700,E121.49603,N24.60414,台7線,棲蘭山,百韜橋,82,500,86,786,山嶺區,4.3,7,北,3,,,,,　,,0.5,252,36,1,0,0,58,347,621,3955.8,156,14,15,0.52,
宜蘭縣,IV-11,棲蘭山,82,700,E121.49603,N24.60414,台7線,棲蘭山,百韜橋,82,500,86,786,山嶺區,4.3,7,南,3,,,,,　,,0.5,220,16,5,0,0,74,315,509,3591,156,14,15,0.52,
宜蘭縣,IV-12,芃芃,89,800,E121.52889,N24.61375,台7線,百韜橋,牛鬥,86,786,95,196,山嶺區,8.4,8.3,北,4,,,,,　,,0.3,1974,68,63,0,4,134,2243,3778,41271.2,768,14,15,0.54,
宜蘭縣,IV-12,芃芃,89,800,E121.52889,N24.61375,台7線,百韜橋,牛鬥,86,786,95,196,山嶺區,8.4,8.3,南,3.5,,,,,　,,0.5,2350,76,68,0,6,154,2654,4441,48833.6,768,14,15,0.54,
宜蘭縣,IV-13,崙埤,101,600,E121.60978,N24.67383,台7線,牛鬥,再連,95,196,106,564,山嶺區,11.4,8.4,北,3.7,,,,,　,,0.5,3005,86,68,0,6,498,3663,5818,41758.2,920,8,9,0.54,
宜蘭縣,IV-13,崙埤,101,600,E121.60978,N24.67383,台7線,牛鬥,再連,95,196,106,564,山嶺區,11.4,8.4,南,3.7,,,,,　,,0.5,2545,85,75,0,3,416,3124,5055,35613.6,920,8,9,0.54,
宜蘭縣,IV-14,水源地,115,400,E121.71591,N24.72881,台7線,水源地,外員山,115,400,120,0,平原區,4.6,15,北,3.5,,,,,2,,2,5040,84,114,0,63,794,6095,6002,28037,1083,16,17,0.53,
宜蘭縣,IV-14,水源地,115,400,E121.71591,N24.72881,台7線,水源地,外員山,115,400,120,0,平原區,4.6,15,南,3.5,,,,,2,,2,5389,74,101,0,121,1143,6828,6701,31408.8,1083,16,17,0.53,
宜蘭縣,IV-15,金六結,120,500,E121.74044,N24.75269,台7線,外員山,宜蘭,120,0,123,300,平原區,3.3,15,北,3.5,,,,,2,,2,5079,68,45,1,1,2634,7828,6835,25832.4,1110,13,14,0.51,
