縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
高雄市,Ⅲ-01,太爺,345,200,120.226474,22.91058,台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,35.2,北,3.5,3.5,3.5,,,3,,2.5,12253,79,362,4,59,11481,24238,21141,353875,2515,7,8,0.54,
高雄市,Ⅲ-01,太爺,345,200,120.226474,22.91058,台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,35.2,南,3.5,3.5,3.5,,,3,,2.5,12776,78,300,6,64,10753,23977,21080,350064,2155,7,8,0.54,
高雄市,Ⅲ-02,青埔橋,366,800,120.317019,22.74267,台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,北,3.5,3.5,3.5,,,4.3,,0.9,11553,85,246,14,187,10984,23069,20342,281442,2558,7,8,0.51,
高雄市,Ⅲ-02,青埔橋,366,800,120.317019,22.74267,台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,南,3.5,3.5,3.5,,,4.3,,0.9,11064,105,269,15,272,12423,24148,21183,294606,2700,17,18,0.51,
高雄市,Ⅲ-03,八卦寮,371,950,120.322671,22.697965,台1線,仁武,鳳山,371,267,383,309,平原區,12,34.2,北,3.6,3.6,,,,2.6,2.6,1.2,18618,260,485,4,170,27171,46708,39278,560496,6309,7,8,0.56,
高雄市,Ⅲ-03,八卦寮,371,950,120.322671,22.697965,台1線,仁武,鳳山,371,267,383,309,平原區,12,34.2,南,3.6,3.6,,,,2.6,2.6,0.8,18020,338,447,5,169,28221,47200,39475,566400,4999,17,18,0.56,
高雄市,Ⅲ-04,大智橋,384,300,120.372085,22.63483,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,31.2,北,3.5,3.5,,,,3,,2.7,16956,59,343,8,73,15994,33433,28999,86926,2822,7,8,0.51,
高雄市,Ⅲ-04,大智橋,384,300,120.372085,22.63483,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,31.2,南,3.5,3.5,,,,3,,2.8,17469,99,303,11,86,15411,33379,29152,86785,2746,7,8,0.51,
高雄市,Ⅲ-05,高屏大橋,390,700,120.427179,22.644525,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,32.8,北,3.5,3.5,3.5,,,4.2,,0.2,23966,90,587,12,343,13309,38307,35363,256657,4490,7,8,0.55,"快慢分隔,1車道"
高雄市,Ⅲ-05,高屏大橋,390,700,120.427179,22.644525,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,32.8,南,3.5,3.5,3.5,,,4.2,,0.2,23941,116,576,7,350,13648,38638,35604,258875,3603,17,18,0.55,"快慢分隔,1車道"
屏東縣,Ⅲ-06,西屏東,394,200,120.4602024,22.65361908,台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,北,3.5,3.5,3.5,,,2,,2.5,19683,92,481,10,227,12346,32839,29896,65678,3543,7,8,0.54,
屏東縣,Ⅲ-06,西屏東,394,200,120.4602024,22.65361908,台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,南,3.5,3.5,3.5,,,2,,2.5,20302,101,509,7,186,13199,34304,31036,68608,3019,17,18,0.54,
