縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,東,3.5,3.5,,,,-,,1.2,"4,010",44,300,28,828,620,"5,830","9,350","83,369",787,16,17,0.5,
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,西,3.5,3.5,,,,-,,1.2,"4,005",27,176,26,827,757,"5,818","9,130","83,197","1,140",15,16,0.5,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.211,16,東,3.5,3.5,,,,-,,1,"9,968",111,265,25,707,"2,421","13,497","14,182","97,178","1,221",14,15,0.52,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.211,16,西,3.5,3.5,,,,-,,1,"11,112",254,200,24,396,"2,528","14,514","14,570","104,501","1,302",15,16,0.52,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,竹安,東港,143,570,156,59,平原區,12.489,15.8,東,3.6,,,,,2.5,,1.8,"2,355",42,210,2,332,751,"2,941","4,237","46,150",989,15,16,0.57,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,竹安,東港,143,570,156,59,平原區,12.489,15.8,西,3.6,,,,,2.5,,1.8,"2,502",49,204,3,254,832,"3,844","4,195","48,050",989,15,16,0.57,
宜蘭縣,IV-04,馬賽 ,164,300,E121.83189,N24.63325,台2線,傳藝中心,馬賽,157,950,164,300,平原區,6.35,20.2,東,3.8,3.4,,,,2.5,,0.4,"4,405",67,235,2,518,"1,552","6,779","7,505","43,386",688,7,8,0.51,
宜蘭縣,IV-04,馬賽 ,164,300,E121.83189,N24.63325,台2線,傳藝中心,馬賽,157,950,164,300,平原區,6.35,20.2,西,3.8,3.4,,,,2.5,,0.4,"4,751",74,233,3,512,"1,489","7,062","7,799","45,197","1,041",17,18,0.51,
宜蘭縣,IV-05,成興,2,800,E121.82794,N24.64886,台2戊線,新店,龍德大橋,0,0,5,0,平原區,5,13.2,東,3.6,,,,,2,,1,"2,983",36,24,0,7,"2,796","5,846","4,755","30,395",797,17,18,0.51,
宜蘭縣,IV-05,成興,2,800,E121.82794,N24.64886,台2戊線,新店,龍德大橋,0,0,5,0,平原區,5,13.2,西,3.6,,,,,2,,1,"3,726",37,23,0,4,"2,316","6,106","4,425","27,575",797,17,18,0.51,
宜蘭縣,IV-06,隘丁,9,0,E121.83511,N24.59840,台2戊線,龍德大橋,聖湖,5,0,9,269,丘陵區,4.3,15,東,3.5,3.5,,,,　,,0.5,"3,358",27,45,0,26,893,"4,349","4,151","18,701",344,16,17,0.54,
宜蘭縣,IV-06,隘丁,9,0,E121.83511,N24.59840,台2戊線,龍德大橋,聖湖,5,0,9,269,丘陵區,4.3,15,西,3.5,3.5,,,,　,,0.5,"3,920",35,53,0,20,"1,030","5,058","4,799","21,749",435,8,9,0.54,
宜蘭縣,IV-07,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.442,18.2,東,3.5,4,,,,-,,1.6,"9,257",145,175,14,451,"1,983","12,025","12,284","16,835","1,064",15,16,0.51,
宜蘭縣,IV-07,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.442,18.2,西,3.5,4,,,,-,,1.6,"9,517",141,129,12,477,"2,186","12,462","12,617","17,447",798,17,18,0.51,
宜蘭縣,IV-08,池端,72,100,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.848,7.8,北,3.6,,,,,　,,0.3,152,10,3,0,0,30,195,323,"4,056",164,11,12,0.55,
宜蘭縣,IV-08,池端,72,100,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.848,7.8,南,3.6,,,,,　,,0.3,173,12,3,0,0,55,243,390,"5,054",164,11,12,0.55,
宜蘭縣,IV-09,棲蘭山,82,700,E121.50041,N24.60478,台7線,棲蘭山,百韜橋,82,500,86,786,山嶺區,4.286,7,北,2.4,,,,,　,,0.7,192,16,3,0,0,38,249,421,"2,839",264,10,11,0.51,
宜蘭縣,IV-09,棲蘭山,82,700,E121.50041,N24.60478,台7線,棲蘭山,百韜橋,82,500,86,786,山嶺區,4.286,7,南,2.4,,,,,　,,0.7,177,13,1,0,0,52,243,388,"2,770",264,10,11,0.51,
宜蘭縣,IV-10,芃芃,89,900,E121.53798,N24.62445,台7線,百韜橋,牛鬥,86,786,95,196,山嶺區,8.41,8,北,3.5,,,,,　,,0.5,"2,000",57,74,0,1,169,"2,301","3,831","42,338",728,10,11,0.51,
宜蘭縣,IV-10,芃芃,89,900,E121.53798,N24.62445,台7線,百韜橋,牛鬥,86,786,95,196,山嶺區,8.41,8,南,3.5,,,,,　,,0.5,"1,948",54,96,0,2,155,"2,255","3,841","41,492",728,10,11,0.51,
宜蘭縣,IV-11,崙埤,100,0,E121.60978,N24.67383,台7線,牛鬥,再連,95,196,106,564,山嶺區,11.368,8.4,北,3.7,,,,,　,,0.5,"2,188",81,38,0,1,269,"2,577","4,153","29,378",693,10,11,0.57,
宜蘭縣,IV-11,崙埤,100,0,E121.60978,N24.67383,台7線,牛鬥,再連,95,196,106,564,山嶺區,11.368,8.4,南,3.7,,,,,　,,0.5,"1,631",60,58,0,2,222,"1,973","3,273","22,492",693,10,11,0.57,
宜蘭縣,IV-12,水源地,115,400,E121.71591,N24.72881,台7線,水源地,外員山,115,400,120,0,平原區,4.6,15,北,3.5,,,,,2,,2,"4,595",106,146,3,52,"1,138","6,040","5,821","27,784",939,15,16,0.51,
宜蘭縣,IV-12,水源地,115,400,E121.71591,N24.72881,台7線,水源地,外員山,115,400,120,0,平原區,4.6,15,南,3.5,,,,,2,,2,"4,296",101,154,5,83,"1,180","5,819","5,651","26,767",939,15,16,0.51,
宜蘭縣,IV-13,星月廣場,120,500,E121.74965,N24.75581,台7線,外員山,黎明國小,120,0,123,500,平原區,3.5,22.7,北,3.5,3.5,4,,,-,,0.5,"1,069",12,3,0,0,574,"1,658","1,386","5,803",156,16,17,0.55,
宜蘭縣,IV-13,星月廣場,120,500,E121.74965,N24.75581,台7線,外員山,黎明國小,120,0,123,500,平原區,3.5,22.7,南,3.3,3.3,4.4,,,-,,0.2,812,10,1,0,0,552,"1,375","1,110","4,813",165,16,17,0.55,
宜蘭縣,IV-14,壯  圍,124,500,E121.78301,N24.74752,台7線,黎明國小,壯圍,123,500,126,300,平原區,2.8,20,北,3.5,3.5,,,,2.5,,0.5,"3,811",36,41,0,5,"2,791","6,684","5,617","13,368",161,17,18,0.51,
宜蘭縣,IV-14,壯  圍,124,500,E121.78301,N24.74752,台7線,黎明國小,壯圍,123,500,126,300,平原區,2.8,20,南,3.5,3.5,,,,2.5,,0.5,"3,932",46,36,0,5,"3,000","7,019","5,870","14,038",487,17,18,0.51,
宜蘭縣,IV-15,獨立山,5,200,E121.47931,N24.57514,台7甲線,百韜橋,四季,0,0,18,350,山嶺區,18.35,10.9,北,3,,,,,　,,0.4,812,17,65,0,1,44,939,"1,679","10,705",433,10,11,0.51,
宜蘭縣,IV-15,獨立山,5,200,E121.47931,N24.57514,台7甲線,百韜橋,四季,0,0,18,350,山嶺區,18.35,10.9,南,3.9,,,,,　,,0.4,828,13,63,0,0,68,972,"1,690","11,081",433,10,11,0.51,
宜蘭縣,IV-16,可法橋,31,900,E121.36361,N24.43040,台7甲線,四季,思源,18,350,45,755,山嶺區,27.405,7.8,北,3.9,,,,,　,,0.4,411,10,7,0,0,61,489,763,"8,998",305,10,11,0.51,
宜蘭縣,IV-16,可法橋,31,900,E121.36361,N24.43040,台7甲線,四季,思源,18,350,45,755,山嶺區,27.405,7.8,南,3.9,,,,,　,,0.4,428,9,8,0,0,71,516,798,"9,494",305,10,11,0.51,
宜蘭縣,IV-17,復興村,5,900,E121.60919,N24.63256,台7丙線,牛鬥,三星,0,0,13,885,丘陵區,13.885,14.2,北,3.6,,,,,2,,1.5,686,18,4,0,0,124,832,817,"11,565",145,12,13,0.54,
宜蘭縣,IV-17,復興村,5,900,E121.60919,N24.63256,台7丙線,牛鬥,三星,0,0,13,885,丘陵區,13.885,14.2,南,3.6,,,,,2,,1.5,593,15,8,0,1,92,709,708,"9,855",145,12,13,0.54,
宜蘭縣,IV-18,廣興大橋,21,900,E121.72907,N24.66959,台7丙線,廣興大橋,廣興,21,600,23,810,平原區,2.21,16,北,3.5,3.5,,,,-,,1,"5,402",47,85,0,40,"2,486","8,060","7,213","17,732",518,9,10,0.54,
宜蘭縣,IV-18,廣興大橋,21,900,E121.72907,N24.66959,台7丙線,廣興大橋,廣興,21,600,23,810,平原區,2.21,16,南,3.5,3.5,,,,-,,1,"6,125",55,82,0,27,"3,082","9,371","8,261","20,616",709,17,18,0.54,
宜蘭縣,IV-19,羅  東,26,500,E121.77417,N24.67499,台7丙線,羅東,金鼎橄社,26,500,29,400,平原區,2.9,19.4,北,3.5,3.5,,,,-,,2.7,"3,446",60,21,0,0,"5,684","9,211","6,450","26,712",808,17,18,0.54,
宜蘭縣,IV-19,羅  東,26,500,E121.77417,N24.67499,台7丙線,羅東,金鼎橄社,26,500,29,400,平原區,2.9,19.4,南,3.5,3.5,,,,-,,2.7,"3,867",92,20,0,0,"6,856","10,835","7,519","31,422",652,17,18,0.54,
宜蘭縣,IV-20,利澤簡橋,30,800,E121.81501,N24.66881,台7丙線,金鼎橄社,利澤簡橋,29,400,30,800,平原區,1.4,14.4,北,3.4,,,,,2.2,,1.6,"5,140",84,228,1,16,"4,543","10,012","8,087","14,017","1,425",17,18,0.51,
宜蘭縣,IV-20,利澤簡橋,30,800,E121.81501,N24.66881,台7丙線,金鼎橄社,利澤簡橋,29,400,30,800,平原區,1.4,14.4,南,3.4,,,,,2.2,,1.6,"4,951",75,271,0,15,"4,494","9,806","7,935","13,728","1,425",17,18,0.51,
