縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註,,,
高雄市,Ⅲ-01,太爺,345,200,120.2265273,22.91066728,台1線,南高縣市界,岡山,344,452,359,019,平原區,14.6,34.2,北,3.7,3.7,3.5,,,2.6,,2.1,11220,46,305,2,66,11904,23543,20284,343728,2313,7,8,0.51 ,,,,
高雄市,Ⅲ-01,太爺,345,200,120.2265273,22.91066728,台1線,南高縣市界,岡山,344,452,359,019,平原區,14.6,34.2,南,3.7,3.7,3.5,,,2.6,,2.1,10981,63,298,4,59,11054,22459,19450,327901,2210,7,8,0.51 ,,,,
高雄市,Ⅲ-02,青埔橋,366,800,120.3170119,22.74262764,台1線,岡山,仁武,359,019,371,267,平原區,12.2,34.8,北,3.5,3.5,3.5,,,4.3,,0.9,11146,64,313,18,209,11990,23740,20786,289628,2748,7,8,0.51 ,,,,
高雄市,Ⅲ-02,青埔橋,366,800,120.3170119,22.74262764,台1線,岡山,仁武,359,019,371,267,平原區,12.2,34.8,南,3.5,3.5,3.5,,,4.3,,0.9,10164,60,370,17,252,13737,24600,21232,300120,2638,17,18,0.51 ,,,,
高雄市,Ⅲ-03,八卦寮,372,000,120.3226134,22.6978182,台1線,仁武,鳳山,371,267,383,309,平原區,12,25.6,北,3.4,3.2,,,,2.5,2.3,0.8,18069,196,614,3,174,29383,48439,40383,581268,5119,7,8,0.53 ,,,,
高雄市,Ⅲ-03,八卦寮,372,000,120.3226134,22.6978182,台1線,仁武,鳳山,371,267,383,309,平原區,12,25.6,南,3.4,3.6,,,,2.5,2.3,0.8,15906,251,495,2,31,29469,46154,37753,553848,4599,17,18,0.53 ,,,,
高雄市,Ⅲ-04,大智橋,384,200,120.3675867,22.6343168,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,16.2,北,3,2.8,,,,1.8,,0.3,16745,53,273,9,103,16934,34117,29425,88704,2901,7,8,0.51 ,,,,
高雄市,Ⅲ-04,大智橋,384,200,120.3675867,22.6343168,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,16.2,南,2.6,2.8,,,,2,,0.4,16626,48,275,10,115,17477,34551,29720,89833,3008,7,8,0.51 ,,,,
高雄市,Ⅲ-05,高屏大橋,390,500,120.42672922,22.64459855,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,30.1,北,3.7,3.7,3.8,,,3.3,,0.2,23156,62,382,27,542,15251,39420,36205,264114,4210,7,8,0.55 ,"快慢分隔,1車道",,,
高雄市,Ⅲ-05,高屏大橋,390,500,120.42672922,22.64459855,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,30.1,南,3.6,3.7,3.6,,,3.3,,0.2,21917,52,433,37,457,11223,34119,31983,228597,3393,17,18,0.55 ,"快慢分隔,1車道",,,
