縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
澎湖縣,Ⅲ-601,興仁,0,500,119.6094966,23.54834458,201線,興仁,五德,0,0,4,0,平原區,4,16.4,北,3.4,3.5,,,,,,1.2,3708,57,118,0,0,4864,8747,6889,34988,801,7,8,0.55,
澎湖縣,Ⅲ-601,興仁,0,500,119.6094966,23.54834458,201線,興仁,五德,0,0,4,0,平原區,4,16.4,南,3.4,3.5,,,,,,1.2,3677,28,83,0,1,4731,8520,6686,34080,653,17,18,0.55,
澎湖縣,Ⅲ-602,井垵,5,650,119.5755083,23.51940987,201線,五德,風櫃,4,0,10,560,平原區,6.6,15.7,北,3.5,3.5,,,,,,0.6,1191,34,6,0,0,1914,3145,2399,20757,265,7,8,0.54,
澎湖縣,Ⅲ-602,井垵,5,650,119.5755083,23.51940987,201線,五德,風櫃,4,0,10,560,平原區,6.6,15.7,南,3.5,4,,,,,,0.4,1141,30,4,0,1,1742,2918,2240,19259,225,16,17,0.54,
澎湖縣,Ⅲ-603,東衛,0,600,119.6043111,23.56968666,202線,東衛,西溪,0,0,6,0,平原區,6,15.9,東,3.3,3.5,,,,,,1,3101,34,87,0,1,3858,7081,5601,42486,550,7,8,0.56,
澎湖縣,Ⅲ-603,東衛,0,600,119.6043111,23.56968666,202線,東衛,西溪,0,0,6,0,平原區,6,15.9,西,3.3,4,,,,,,0.6,3187,32,93,0,1,3878,7191,5705,43146,691,7,8,0.56,
澎湖縣,Ⅲ-604,南寮,8,400,119.6683518,23.58270661,202線,西溪,裡正角,6,0,12,631,平原區,6.6,18.4,東,3.5,4,,,,,,1,420,15,8,0,0,709,1152,880,7603,107,10,11,0.54,
澎湖縣,Ⅲ-604,南寮,8,400,119.6683518,23.58270661,202線,西溪,裡正角,6,0,12,631,平原區,6.6,18.4,西,3.5,4,,,,,,1,349,19,10,0,0,799,1177,872,7768,124,7,8,0.54,
澎湖縣,Ⅲ-605,地方法院,1,0,119.5692481,23.56944028,203線,馬公,潮音寺,0,0,2,500,平原區,2.5,10.8,北,4.8,,,,,,,0.5,1870,188,12,0,0,3212,5282,3876,13205,330,17,18,0.56,
澎湖縣,Ⅲ-605,地方法院,1,0,119.5692481,23.56944028,203線,馬公,潮音寺,0,0,2,500,平原區,2.5,10.8,南,4.8,,,,,,,0.5,1440,202,11,0,0,3212,4865,3472,12162,416,17,18,0.56,
