縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,東,3.5,3.5,,,,-,,1.2,"4,117",92,278,29,"1,421",585,"6,522","12,458","93,265",721,18,19,0.55,
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,西,3.5,3.5,,,,-,,1.2,"3,990",60,239,30,"1,074",713,"6,106","10,536","87,316",895,14,15,0.55,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.2,16,東,3.5,3.5,,,,-,,1,"6,354",115,236,20,"1,512","1,583","9,820","12,427","60,884","1,092",16,17,0.56,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.2,16,西,3.5,3.5,,,,-,,1,"6,299",218,205,19,"1,071","1,746","9,558","11,252","59,260",860,14,15,0.56,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,金馬橋,東港,137,0,156,59,平原區,12.5,15.8,東,3.6,,,,,2.5,,1.8,"1,531",33,394,3,383,466,"2,810","3,776","53,390",347,15,16,0.6,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,金馬橋,東港,137,0,156,59,平原區,12.5,15.8,西,3.6,,,,,2.5,,1.8,"1,646",33,421,4,472,498,"3,074","4,231","58,406",526,15,16,0.6,
宜蘭縣,IV-04,港務大樓,166,300,E121.85409,N24.61105,台2線,東港,永光里,156,59,167,405,平原區,6.4,20.2,東,3.8,3.4,,,,2.5,,0.4,"4,773",65,121,1,173,978,"6,111","6,260","69,054",735,7,8,0.54,
宜蘭縣,IV-04,港務大樓,166,300,E121.85409,N24.61105,台2線,東港,永光里,156,59,167,405,平原區,6.4,20.2,西,3.8,3.4,,,,2.5,,0.4,"4,919",78,90,2,210,"1,092","6,391","6,571","72,218",854,17,18,0.54,
宜蘭縣,IV-05,蘇澳運動公園,9,0,E121.83519,N24.59854,台2戊線,隘丁,蘇澳市區,7,5,10,978,平原區,5,15,東,3.5,3.5,,,,-,,0.5,"4,433",33,251,0,73,"1,759","6,549","6,134","26,196",622,17,18,0.57,
宜蘭縣,IV-05,蘇澳運動公園,9,0,E121.83519,N24.59854,台2戊線,隘丁,蘇澳市區,7,5,10,978,平原區,5,15,西,3.5,3.5,,,,-,,0.5,"2,976",22,217,0,84,"1,357","4,656","4,401","18,624",466,17,18,0.57,
宜蘭縣,IV-06,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.4,18.2,東,3.5,4,,,,-,,1.6,"9,615",103,174,21,716,"2,096","12,725","13,500","17,815","1,236",16,17,0.52,
宜蘭縣,IV-06,二城國小,2,300,E121.80381,N24.84314,台2庚線,二城國小,二城,2,300,3,742,平原區,1.4,18.2,西,3.5,4,,,,-,,1.6,"9,306",111,148,11,609,"1,948","12,133","12,724","16,986","1,133",11,12,0.52,
宜蘭縣,IV-07,池端,72,100,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.8,7.8,北,3.6,,,,,　,,0.3,132,16,5,0,0,18,171,321,"3,557",71,14,15,0.59,
宜蘭縣,IV-07,池端,72,100,E121.48731,N24.62989,台7線,桃園縣縣界,棲蘭山,61,652,82,500,山嶺區,20.8,7.8,南,3.6,,,,,　,,0.3,144,16,4,0,0,20,184,336,"3,827",49,14,15,0.59,
宜蘭縣,IV-08,棲蘭山,82,700,E121.50041,N24.60478,台7線,棲蘭山,百韜橋,82,500,86,786,山嶺區,4.3,7,北,2.4,,,,,　,,0.7,223,14,0,0,0,30,267,435,"1,148",66,13,14,0.51,
宜蘭縣,IV-08,棲蘭山,82,700,E121.50041,N24.60478,台7線,棲蘭山,百韜橋,82,500,86,786,山嶺區,4.3,7,南,2.4,,,,,　,,0.7,209,24,0,0,0,41,274,475,"1,178",63,13,14,0.51,
宜蘭縣,IV-09,芃芃,89,900,E121.53798,N24.62445,台7線,百韜橋,牛鬥,86,786,95,196,山嶺區,8.4,8,北,3.5,,,,,　,,0.5,"1,701",63,85,0,0,73,"1,922","3,365","16,145",158,16,17,0.78,
宜蘭縣,IV-09,芃芃,89,900,E121.53798,N24.62445,台7線,百韜橋,牛鬥,86,786,95,196,山嶺區,8.4,8,南,3.5,,,,,　,,0.5,"1,044",42,41,0,1,41,"1,169","2,029","9,820",566,16,17,0.78,
宜蘭縣,IV-10,崙埤,100,0,E121.60978,N24.67383,台7線,牛鬥,再連,95,196,106,564,山嶺區,11.4,8.4,北,3.7,,,,,　,,0.5,"1,898",76,26,0,13,167,"2,180","3,615","24,852",208,16,17,0.74,
