縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
高雄市,Ⅲ-01,太爺,345,200,120.2264725,22.9104819,台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,34.2,北,3.7,3.7,3.5,,,2.6,,2.1,8262,38,272,6,135,9339,18052,15687,263559,2086,7,8,0.52,
高雄市,Ⅲ-01,太爺,345,200,120.2264725,22.9104819,台1線,南高縣市界,岡山,344,452,359,19,平原區,14.6,34.2,南,3.7,3.7,3.5,,,2.6,,2.1,8547,33,316,5,140,9074,18115,15858,264479,1953,7,8,0.52,
高雄市,Ⅲ-02,青埔橋,366,800,120.3171321,22.74251577,台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,北,3.5,3.5,3.5,,,4.3,,0.9,8093,51,294,13,230,10124,18805,16427,229421,2765,7,8,0.53,
高雄市,Ⅲ-02,青埔橋,366,800,120.3171321,22.74251577,台1線,岡山,仁武,359,19,371,267,平原區,12.2,34.8,南,3.5,3.5,3.5,,,4.3,,0.9,8707,44,331,10,235,11034,20361,17729,248404,2440,17,18,0.53,
高雄市,Ⅲ-03,八卦寮,372,100,120.3226134,22.6978182,台1線,仁武,鳳山,371,267,383,309,平原區,12,25.6,北,3.4,3.2,,,,2.5,2.3,0.8,12844,195,818,4,196,19849,33906,28858,406872,5168,7,8,0.57,
高雄市,Ⅲ-03,八卦寮,372,100,120.3226134,22.6978182,台1線,仁武,鳳山,371,267,383,309,平原區,12,25.6,南,3.4,3.6,,,,2.5,2.3,0.8,10155,225,728,5,158,20859,32130,26675,385560,3956,17,18,0.57,
高雄市,Ⅲ-04,大智橋,384,300,120.3675867,22.6343168,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,16.2,北,3,2.8,,,,1.8,,0.3,12828,14,765,10,68,13428,27113,23631,70494,2674,7,8,0.51,
高雄市,Ⅲ-04,大智橋,384,300,120.3675867,22.6343168,台1線,鳳山,後庄,383,309,385,923,平原區,2.6,16.2,南,2.6,2.8,,,,2,,0.4,12702,11,789,9,64,13399,26974,23501,70132,2809,7,8,0.51,
高雄市,Ⅲ-05,高屏大橋,390,500,120.4267292,22.64459855,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,30.1,北,3.7,3.7,3.8,,,3.3,,0.2,17827,29,1456,17,227,10504,30060,28140,201402,3983,7,8,0.55,"快慢分隔,1車道"
高雄市,Ⅲ-05,高屏大橋,390,500,120.4267292,22.64459855,台1線,後庄,高屏大橋,385,923,392,646,平原區,6.7,30.1,南,3.6,3.7,3.6,,,3.3,,0.2,17662,28,1453,14,242,10577,29976,28056,200839,3222,17,18,0.55,"快慢分隔,1車道"
屏東縣,Ⅲ-06,西屏東,394,200,120.4602563,22.65344499,台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,北,3.5,3.5,3.5,,,2,,2.5,17499,41,420,17,234,11154,29365,26752,58730,3369,7,8,0.56,
屏東縣,Ⅲ-06,西屏東,394,200,120.4602563,22.65344499,台1線,高屏大橋,頭前溪,392,646,394,603,平原區,2,33.2,南,3.5,3.5,3.5,,,2,,2.5,17614,49,445,26,206,9506,27846,25706,55692,2657,17,18,0.56,
屏東縣,Ⅲ-07,牛稠溪橋,395,950,120.4768463,22.65327127,台1線,頭前溪,國立商專,394,603,399,503,平原區,4.9,24.2,北,3.5,3.5,,,,2,,1.8,8238,26,284,12,156,6352,15068,13653,73833,1550,7,8,0.56,
屏東縣,Ⅲ-07,牛稠溪橋,395,950,120.4768463,22.65327127,台1線,頭前溪,國立商專,394,603,399,503,平原區,4.9,24.2,南,3.5,3.5,,,,2,,1.8,7515,22,283,20,138,5967,13945,12624,68331,1221,17,18,0.56,
屏東縣,Ⅲ-08,豐田招呼站,404,300,120.542944,22.63256923,台1線,國立商專,內埔,399,503,406,292,平原區,6.8,21.2,北,3.5,3.5,,,,2,,1.2,7471,81,310,1,129,5435,13427,12253,91304,1580,7,8,0.52,
