縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
澎湖縣,Ⅲ-601,興仁,0,500,119.6094966,23.54834458,201線,興仁,五德,0,000,4,000,平原區,4,16.4,北,3.4,3.5,,,,,,1.2,3315,38,99,0,1,2962,6415,5301,25660,643,7,8,0.57,
澎湖縣,Ⅲ-601,興仁,0,500,119.6094966,23.54834458,201線,興仁,五德,0,000,4,000,平原區,4,16.4,南,3.4,3.5,,,,,,1.2,3191,22,84,0,1,2786,6084,5025,24336,481,17,18,0.57,
澎湖縣,Ⅲ-602,井垵,5,650,119.5755083,23.51940987,201線,五德,風櫃,4,000,10,560,平原區,6.6,15.7,北,3.5,3.5,,,,,,0.6,1081,24,12,0,0,1160,2277,1831,15028,251,7,8,0.54,
澎湖縣,Ⅲ-602,井垵,5,650,119.5755083,23.51940987,201線,五德,風櫃,4,000,10,560,平原區,6.6,15.7,南,3.5,4,,,,,,0.4,1011,17,6,0,0,1091,2125,1701,14025,214,15,16,0.54,
澎湖縣,Ⅲ-603,東衛,0,600,119.6043111,23.56968666,202線,東衛,西溪,0,000,6,000,平原區,6,15.9,東,3.3,3.5,,,,,,1.0,2773,23,51,0,10,2623,5480,4489,32880,495,7,8,0.52,
澎湖縣,Ⅲ-603,東衛,0,600,119.6043111,23.56968666,202線,東衛,西溪,0,000,6,000,平原區,6,15.9,西,3.3,4,,,,,,0.6,2767,22,62,0,10,2635,5496,4504,32976,536,7,8,0.52,
澎湖縣,Ⅲ-604,南寮,8,400,119.6683518,23.58270661,202線,西溪,裡正角,6,000,12,631,平原區,6.6,18.4,東,3.5,4,,,,,,1.0,456,12,9,0,0,710,1187,914,7834,127,16,17,0.53,
澎湖縣,Ⅲ-604,南寮,8,400,119.6683518,23.58270661,202線,西溪,裡正角,6,000,12,631,平原區,6.6,18.4,西,3.5,4,,,,,,1.0,447,14,9,0,0,731,1201,921,7927,141,7,8,0.53,
澎湖縣,Ⅲ-605,地方法院,1,000,119.5692481,23.56944028,203線,馬公,潮音寺,0,000,2,500,平原區,2.5,10.8,北,4.8,,,,,,,0.5,1443,93,17,0,0,1752,3305,2539,8262,224,17,18,0.59,
澎湖縣,Ⅲ-605,地方法院,1,000,119.5692481,23.56944028,203線,馬公,潮音寺,0,000,2,500,平原區,2.5,10.8,南,4.8,,,,,,,0.5,1153,85,11,0,0,1657,2906,2174,7265,321,17,18,0.59,
