縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,備註
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,東,3.5,3.5,,,,-,,1.2,"1,863",15,124,37,912,268,"3,219","7,047","46,032",464,18,19,0.57,
宜蘭縣,IV-01,大溪,124,400,E121.88503,N24.93471,台2線,台北縣縣界,梗枋,116,489,130,789,丘陵區,14.3,16.4,西,3.5,3.5,,,,-,,1.2,"2,197",15,181,45,"1,444",343,"4,225","10,240","60,418",614,14,15,0.57,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.2,16,東,3.5,3.5,,,,-,,1,"2,960",37,220,53,"1,048",416,"4,734","6,899","29,351",460,16,17,0.58,
宜蘭縣,IV-02,蘭陽博物館,134,300,E121.83052,N24.86754,台2線,梗枋,金馬橋,130,789,137,0,平原區,6.2,16,西,3.5,3.5,,,,-,,1,"3,763",52,190,52,794,372,"5,223","6,887","32,383",635,14,15,0.58,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,金馬橋,東港,137,0,156,59,平原區,12.5,15.8,東,3.6,,,,,2.5,,1.8,"1,450",14,117,8,334,493,"2,416","2,985","45,904",428,15,16,0.72,
宜蘭縣,IV-03,公館,150,700,E121.82097,N24.72411,台2線,金馬橋,東港,137,0,156,59,平原區,12.5,15.8,西,3.6,,,,,2.5,,1.8,"1,516",13,111,6,319,540,"2,505","3,009","47,595",167,15,16,0.72,
宜蘭縣,IV-04,港務大樓,166,300,E121.85409,N24.61105,台2線,東港,永光里,156,59,167,405,平原區,6.4,20.2,東,3.8,3.4,,,,2.5,,0.4,"3,757",28,101,3,473,815,"5,177","5,950","58,500",536,7,8,0.55,
宜蘭縣,IV-04,港務大樓,166,300,E121.85409,N24.61105,台2線,東港,永光里,156,59,167,405,平原區,6.4,20.2,西,3.8,3.4,,,,2.5,,0.4,"3,583",23,127,5,449,"1,214","5,401","6,021","61,031",647,17,18,0.55,
宜蘭縣,IV-05,蘇澳運動公園,9,0,E121.83519,N24.59854,台2戊線,隘丁,蘇澳市區,7,5,10,978,平原區,5,15,東,3.5,3.5,,,,-,,0.5,"2,316",13,27,0,91,"1,338","3,785","3,453","15,140",304,17,18,0.58,
宜蘭縣,IV-05,蘇澳運動公園,9,0,E121.83519,N24.59854,台2戊線,隘丁,蘇澳市區,7,5,10,978,平原區,5,15,西,3.5,3.5,,,,-,,0.5,"3,187",18,46,0,43,"1,396","4,690","4,250","18,760",428,17,18,0.58,
